"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 12:30:19 IST 2023","Mon Sep 25 12:30:32 IST 2023","12861","","VerifyLoginFunctionality","","","","VerifySuccessfulLogin",""
"passed","Mon Sep 25 12:30:32 IST 2023","Mon Sep 25 12:30:51 IST 2023","18831","","VerifyLoginFunctionality","","","","VerifyLogoutFunctionality",""
